datetime,open,high,low,close,volume
2025-04-27 08:30:00,1829.12,1830.7,1806.2,1807.59,10234.6435
2025-04-27 08:35:00,1807.6,1816.6,1806.86,1814.54,2947.5105
2025-04-27 08:40:00,1814.55,1818.24,1810.81,1815.92,1522.2765
2025-04-27 08:45:00,1815.92,1816.76,1809.0,1814.64,2955.9679
2025-04-27 08:50:00,1814.64,1816.47,1810.29,1813.3,1502.1247
2025-04-27 08:55:00,1813.29,1814.59,1801.02,1804.6,4707.2655
2025-04-27 09:00:00,1804.61,1810.19,1801.07,1807.49,2261.1117
2025-04-27 09:05:00,1807.49,1812.6,1807.08,1811.78,1215.7076
2025-04-27 09:10:00,1811.78,1816.33,1811.78,1815.77,1422.6693
2025-04-27 09:15:00,1815.78,1816.62,1811.9,1815.94,1095.3022
2025-04-27 09:20:00,1815.95,1817.11,1815.0,1816.89,1135.4928
2025-04-27 09:25:00,1816.9,1818.1,1815.8,1816.0,876.6972
2025-04-27 09:30:00,1816.0,1816.49,1811.35,1813.38,1071.9856
2025-04-27 09:35:00,1813.39,1816.32,1812.69,1813.5,599.1047
2025-04-27 09:40:00,1813.5,1814.6,1811.2,1812.26,1525.8794
2025-04-27 09:45:00,1812.26,1812.3,1806.92,1807.2,1082.7366
2025-04-27 09:50:00,1807.2,1812.41,1807.2,1811.7,630.7249
2025-04-27 09:55:00,1811.7,1813.8,1811.5,1813.24,1195.9104
2025-04-27 10:00:00,1813.23,1816.08,1812.0,1816.08,900.7107
2025-04-27 10:05:00,1816.08,1817.5,1815.34,1817.28,972.0673
2025-04-27 10:10:00,1817.29,1817.5,1812.52,1812.57,2323.9503
2025-04-27 10:15:00,1812.57,1815.2,1811.11,1812.11,1022.0619
2025-04-27 10:20:00,1812.1,1812.88,1809.45,1810.22,1215.5278
2025-04-27 10:25:00,1810.21,1810.21,1807.29,1809.41,984.3633
2025-04-27 10:30:00,1809.42,1812.47,1808.53,1812.46,767.4577
2025-04-27 10:35:00,1812.47,1813.04,1811.4,1813.03,501.1878
2025-04-27 10:40:00,1813.04,1813.11,1810.0,1810.58,1066.5288
