open,high,low,close,volume,rsi,pct_change
384.64,389.36,377.78,384.79,4435.86855,58.46461559837243,-0.2953903557639914
386.44,394.39,383.18,388.46,4198.68434,59.6906015745889,0.9537669897866197
388.58,394.32,320.08,343.14,8240.32724,42.86477698271025,-11.666580857745966
343.56,367.28,320.08,341.77,5253.62211,42.4749973775404,-0.3992539488255509
339.29,344.55,267.94,283.77,6737.81061,30.026531759524076,-16.97047722152325
286.81,321.52,235.55,312.09,8344.41924,39.37022102863864,9.979913310075062
313.29,336.34,312.09,335.0,5486.30988,45.68842846071874,7.34083117049571
335.01,342.5,320.17,334.49,3103.89745,45.57457132407074,-0.15223880597015071
334.49,335.1,272.0,302.99,4915.75693,39.094308315988,-9.417321893031183
300.01,307.0,281.66,296.74,2740.58822,37.94154744447187,-2.0627743489884165
296.72,302.78,261.03,293.5,4156.45099,37.32707929208242,-1.0918649322639418
293.51,304.98,285.21,297.3,4829.64647,38.58337976194887,1.2947189097104017
297.78,316.46,286.01,293.96,5176.31402,37.864926924279324,-1.1234443323242638
293.93,294.5,257.05,276.91,6451.22836,34.34874401859632,-5.800108858348063
275.76,283.77,215.0,215.21,12601.95676,25.221329485921782,-22.281607742587852
217.0,270.93,192.0,253.0,14223.8953,36.37332428370769,17.559592955717672
255.99,271.81,235.51,249.31,10362.06011,35.811715232387904,-1.4584980237154155
249.32,264.39,239.02,257.55,4614.53337,38.109761606991746,3.305122137098393
257.53,306.22,257.11,294.57,4125.97051,47.24752205400931,14.373907979033195
296.0,300.0,277.41,284.0,1869.90852,45.19570771470675,-3.5882812234782846
284.01,294.0,275.91,282.0,1060.56734,44.79927480528501,-0.7042253521126751
285.1,287.0,252.1,257.0,1912.55583,40.0681296265299,-8.865248226950351
258.0,272.97,253.01,264.0,1464.5125,41.9177452000187,2.7237354085603016
259.99,286.23,255.11,285.93,2824.33572,47.39514846362623,8.306818181818176
286.5,294.61,275.0,282.0,5575.54422,46.54797825824948,-1.3744622809778617
282.0,299.0,281.34,294.42,5870.48035,49.613235891658675,4.404255319148942
294.42,296.81,286.24,287.9,4566.92804,48.05528179410415,-2.2145234698729865
289.91,313.0,286.13,309.74,5518.10382,53.340762186210185,7.585967349774236
309.81,311.81,296.89,302.44,6600.90922,51.45609442954735,-2.356815393555889
302.44,303.0,274.0,292.22,11089.19902,48.85362807003591,-3.379182647797896
292.62,307.49,292.22,304.36,4020.60795,51.96168217304194,4.154404216001639
305.13,306.0,294.0,303.95,5060.05758,51.84709183717512,-0.1347088973584043
303.94,305.0,295.0,296.5,3710.83747,49.70223737486227,-2.451061029774626
298.15,301.99,283.18,292.48,5546.85702,48.53546251304834,-1.3558178752107852
292.47,297.97,288.0,291.99,4014.88792,48.38635869124369,-0.16753282275711046
290.0,297.44,285.53,294.81,3412.39016,49.350721771280696,0.9657864995376464
294.78,310.8,293.78,310.8,3541.02359,54.53766883802173,5.423832298768705
309.9,318.5,303.6,311.01,2165.79076,54.603422082260984,0.06756756756756133
311.08,317.07,309.0,311.07,2960.93198,54.623615601462085,0.019291984180580535
311.13,312.13,286.65,297.19,4885.37863,49.17420940805362,-4.462018195261519
297.35,308.56,293.0,298.64,6749.27468,49.7383260420618,0.4879033614859196
300.88,305.5,298.02,304.01,3724.6863,51.86892303316593,1.7981516206804216
304.01,310.0,302.71,303.99,7827.75596,51.86010568171813,-0.006578730962791823
303.52,353.96,297.0,337.96,17925.36585,63.27843044036208,11.174709694397823
337.96,349.8,335.0,342.0,7731.96469,64.361090624155,1.1954077405610164
342.0,348.0,316.17,337.96,10011.34708,62.380456922138876,-1.1812865497076053
337.5,354.0,332.78,335.19,8663.47097,60.99448501948056,-0.8196236240975208
335.18,336.58,312.65,315.19,8146.74356,52.009392286766975,-5.966765118291118
315.19,318.0,284.68,309.7,12908.0454,49.83904736508682,-1.7418065293949736
311.52,315.0,300.0,308.66,8678.74739,49.418339330976636,-0.3358088472715459
308.66,311.18,302.0,304.51,8739.31764,47.68842924082659,-1.3445214799455818
304.51,305.34,290.0,298.94,8591.63121,45.39173113337115,-1.8291681718170194
298.99,306.99,290.0,293.79,7173.06893,43.314609106114396,-1.7227537298454498
293.78,294.6,272.2,281.09,9658.78404,38.621163454563835,-4.322815616596909
282.27,310.0,275.5,297.38,14066.67924,46.61217356943036,5.795296880002865
295.43,300.0,281.0,294.49,9703.09261,45.48088505564119,-0.971820566278836
294.1,299.76,291.03,294.71,7813.02717,45.58914532216348,0.07470542293455118
294.72,298.1,292.03,296.33,6272.14802,46.43266908107197,0.5496929184622079
296.14,297.0,290.1,291.87,5848.86589,44.39223167038418,-1.5050787972867963
291.86,309.4,291.86,305.0,9019.13315,51.192152200074354,4.498578134100795
305.0,316.0,302.1,307.25,8946.12026,52.26928387366564,0.7377049180327777
305.95,309.99,304.01,304.9,7640.41182,51.00324518790251,-0.7648494711147369
304.89,305.9,286.34,287.01,9843.1666,42.55318731736267,-5.867497540177102
287.3,293.0,274.73,283.12,13423.8572,40.96395390816025,-1.3553534720044502
283.12,307.0,282.0,304.08,8194.03465,51.47901022299451,7.403221248940373
304.09,304.99,292.11,298.04,7828.41744,48.78257845479441,-1.9863193896342946
298.1,302.14,293.13,295.53,6638.42119,47.665245652647165,-0.8421688363978164
295.19,305.58,290.11,297.97,7515.50103,48.89075892063492,0.825635299292804
297.25,303.52,287.0,291.78,9418.57881,45.951021734284815,-2.0773903413095485
291.31,320.0,290.02,303.02,15961.85772,51.6375870743462,3.8522174240866347
303.6,329.0,299.5,317.87,11151.29946,57.93457237004121,4.900666622665173
